City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
172,port elizabeth,1,US,1573517471,76,39.31,-74.98,57.99,4.7
173,puerto escondido,40,MX,1573517471,70,15.86,-97.07,86.0,5.82
174,kyshtovka,100,RU,1573517471,92,56.56,76.62,17.42,20.18
175,barcelona,20,ES,1573517289,71,41.38,2.18,53.01,13.87
176,kajaani,90,FI,1573517471,92,64.22,27.73,28.4,1.12
177,mitu,0,IR,1573517471,31,36.2,46.09,37.74,5.55
178,togur,100,RU,1573517471,75,58.36,82.83,12.36,12.1
179,siavonga,99,ZW,1573517471,66,-16.54,28.71,80.64,6.22
180,praya,40,ID,1573517471,74,-8.71,116.27,84.2,9.17
181,haines junction,92,CA,1573517471,94,60.75,-137.51,13.24,4.18
182,malaryta,11,BY,1573517471,89,51.79,24.08,38.14,6.69
183,avon,90,US,1573517254,80,41.45,-82.04,37.4,16.11
184,port augusta,90,AU,1573517472,51,-32.49,137.76,62.01,21.92
185,saskylakh,99,RU,1573517472,91,71.97,114.09,-8.29,6.04
186,dangara,91,IN,1573517472,32,29.68,75.89,62.08,2.84
187,awallan,100,PH,1573517472,90,17.92,121.91,71.02,3.74
188,pitimbu,20,BR,1573517472,83,-7.47,-34.81,77.0,8.05
189,high level,20,CA,1573517472,84,58.52,-117.13,5.0,2.24
190,mahebourg,40,MU,1573517472,94,-20.41,57.7,75.2,3.36
191,alice springs,1,AU,1573517472,5,-23.7,133.88,87.8,5.82
192,seoul,90,KR,1573517473,100,37.57,126.98,41.0,2.24
193,margate,75,AU,1573517473,56,-43.03,147.26,57.0,17.22
194,tessalit,0,ML,1573517473,17,20.2,1.01,63.39,12.59
195,okato,0,NZ,1573517473,46,-39.19,173.88,61.0,8.99
196,loandjili,40,CG,1573517473,94,-4.77,11.87,75.2,3.36
197,lazaro cardenas,90,MX,1573517473,72,28.39,-105.62,64.4,12.75
198,sakaiminato,20,JP,1573517473,82,35.55,133.23,55.4,5.82
199,iranshahr,0,IR,1573517473,25,27.21,60.69,53.6,3.74
200,lorengau,100,PG,1573517473,87,-2.02,147.27,78.33,4.99
201,aswan,0,EG,1573517473,50,24.09,32.9,78.8,9.17
202,rorvik,97,NO,1573517473,72,64.86,11.24,28.99,1.99
203,ornskoldsvik,97,SE,1573517448,85,63.29,18.72,30.2,5.82
204,cap-aux-meules,75,CA,1573517473,58,47.38,-61.86,30.2,9.17
205,champerico,40,MX,1573517473,73,16.38,-93.6,77.0,11.41
206,batsfjord,20,NO,1573517473,78,70.63,29.72,12.2,2.24
207,oksfjord,84,NO,1573517474,84,70.24,22.35,19.4,12.75
208,norilsk,75,RU,1573517325,84,69.35,88.2,1.4,2.24
209,pandhana,0,IN,1573517474,73,21.73,76.26,68.7,2.68
210,clyde river,90,CA,1573517474,92,70.47,-68.59,14.0,29.97
211,castro,23,CL,1573517474,72,-42.48,-73.76,60.8,6.93
212,tuatapere,76,NZ,1573517474,33,-46.13,167.69,63.54,1.48
213,saldanha,32,PT,1573517474,81,41.42,-6.55,41.56,2.51
214,noumea,13,NC,1573517474,44,-22.28,166.46,80.6,11.41
215,joensuu,90,FI,1573517474,100,62.6,29.76,34.0,12.75
216,puerto narino,75,CO,1573517474,100,-3.77,-70.38,78.8,2.53
217,qaqortoq,83,GL,1573517474,87,60.72,-46.03,32.0,16.11
218,kutahya,27,TR,1573517474,86,39.42,29.98,39.2,1.12
219,barrow,99,AR,1573517474,76,-38.31,-60.23,61.57,6.13
220,zhangzhou,0,CN,1573517474,72,24.51,117.65,64.4,2.24
221,guerrero negro,0,MX,1573517474,68,27.97,-114.04,67.51,13.4
